advertiser_name,ad_url
reid andries,https://adstransparency.google.com/advertiser/AR16197860817696194561/creative/CR07935691329130987521?political=&region=US
reid andries,https://adstransparency.google.com/advertiser/AR16197860817696194561/creative/CR16590905850617397249?political=&region=US
lernerforstaterep2024,https://adstransparency.google.com/advertiser/AR05395959433362669569/creative/CR01288522366694981633?political=&region=US
lernerforstaterep2024,https://adstransparency.google.com/advertiser/AR05395959433362669569/creative/CR14157869738574741505?political=&region=US
lance staudacher,https://adstransparency.google.com/advertiser/AR01982488149997125633/creative/CR17414315265251868673?political=&region=US
lance staudacher,https://adstransparency.google.com/advertiser/AR01982488149997125633/creative/CR17874806128127246337?political=&region=US
Zinke for Congress,https://adstransparency.google.com/advertiser/AR06588481069014581249/creative/CR10864634174875107329?political=&region=US
Zinke for Congress,https://adstransparency.google.com/advertiser/AR06588481069014581249/creative/CR01043921110149627905?political=&region=US
Zimmermann for Missouri,https://adstransparency.google.com/advertiser/AR02419260124699820033/creative/CR04142687426634055681?political=&region=US
ZELLNOR FOR NYC,https://adstransparency.google.com/advertiser/AR16170361894446563329/creative/CR14559384945219862529?political=&region=US
ZELLNOR FOR NYC,https://adstransparency.google.com/advertiser/AR16170361894446563329/creative/CR01843629727013666817?political=&region=US
ZELLNOR FOR NYC,https://adstransparency.google.com/advertiser/AR16170361894446563329/creative/CR08157940287377768449?political=&region=US
Young Turks Inc.,https://adstransparency.google.com/advertiser/AR04247711729347198977/creative/CR12891813710149976065?political=&region=US
Young People for All People,https://adstransparency.google.com/advertiser/AR00550680193929314305/creative/CR03524351172691361793?political=&region=US
Young People for All People,https://adstransparency.google.com/advertiser/AR00550680193929314305/creative/CR18172563824073244673?political=&region=US
Young People for All People,https://adstransparency.google.com/advertiser/AR00550680193929314305/creative/CR14612688220962422785?political=&region=US
Young People for All People,https://adstransparency.google.com/advertiser/AR00550680193929314305/creative/CR11237891434470178817?political=&region=US
Young People for All People,https://adstransparency.google.com/advertiser/AR00550680193929314305/creative/CR17433718621825138689?political=&region=US
Yes on SOS for Palos Verdes Schools,https://adstransparency.google.com/advertiser/AR08978498719901024257/creative/CR06747530803271434241?political=&region=US
"Yes on Prop 4, Californians for Safe Drinking Water and Wildfire Prevention, Sponsored by Environmental Organizations",https://adstransparency.google.com/advertiser/AR12187467386030391297/creative/CR13965441459818594305?political=&region=US
"Yes on Prop 36 - Californians for Safer Communities, sponsored by Golden State Communities",https://adstransparency.google.com/advertiser/AR04455135319481647105/creative/CR01493340767106629633?political=&region=US
Yes on P for SBCC,https://adstransparency.google.com/advertiser/AR09833261258357342209/creative/CR06463024473002999809?political=&region=US
Yes on G – Communities United Action Fund (nonprofit 501(c)(4)),https://adstransparency.google.com/advertiser/AR15257726063246049281/creative/CR16315385330666569729?political=&region=US
"Yes on AA: Protect Lifesaving Care at Desert Regional Medical Center. A Coachella Valley Coalition of Doctors, Nurses, Patients, and Community Groups, sponsored by Tenet Healthcare Corporation.",https://adstransparency.google.com/advertiser/AR04896869613498793985/creative/CR14075802688893747201?political=&region=US
"Yes on AA: Protect Lifesaving Care at Desert Regional Medical Center. A Coachella Valley Coalition of Doctors, Nurses, Patients, and Community Groups, sponsored by Tenet Healthcare Corporation.",https://adstransparency.google.com/advertiser/AR04896869613498793985/creative/CR01657117920326582273?political=&region=US
"Yes on AA: Protect Lifesaving Care at Desert Regional Medical Center. A Coachella Valley Coalition of Doctors, Nurses, Patients, and Community Groups, sponsored by Tenet Healthcare Corporation.",https://adstransparency.google.com/advertiser/AR04896869613498793985/creative/CR01074535087279702017?political=&region=US
"Yes on AA: Protect Lifesaving Care at Desert Regional Medical Center. A Coachella Valley Coalition of Doctors, Nurses, Patients, and Community Groups, sponsored by Tenet Healthcare Corporation.",https://adstransparency.google.com/advertiser/AR04896869613498793985/creative/CR14766507097369608193?political=&region=US
"Yes on AA: Protect Lifesaving Care at Desert Regional Medical Center. A Coachella Valley Coalition of Doctors, Nurses, Patients, and Community Groups, sponsored by Tenet Healthcare Corporation.",https://adstransparency.google.com/advertiser/AR04896869613498793985/creative/CR13369362070001156097?political=&region=US
"Yes on AA: Protect Lifesaving Care at Desert Regional Medical Center. A Coachella Valley Coalition of Doctors, Nurses, Patients, and Community Groups, sponsored by Tenet Healthcare Corporation.",https://adstransparency.google.com/advertiser/AR04896869613498793985/creative/CR12150936060657926145?political=&region=US
"Yes on AA: Protect Lifesaving Care at Desert Regional Medical Center. A Coachella Valley Coalition of Doctors, Nurses, Patients, and Community Groups, sponsored by Tenet Healthcare Corporation.",https://adstransparency.google.com/advertiser/AR04896869613498793985/creative/CR15749312162926952449?political=&region=US
"Yes on AA: Protect Lifesaving Care at Desert Regional Medical Center. A Coachella Valley Coalition of Doctors, Nurses, Patients, and Community Groups, sponsored by Tenet Healthcare Corporation.",https://adstransparency.google.com/advertiser/AR04896869613498793985/creative/CR14168126481254842369?political=&region=US
"Yes on AA: Protect Lifesaving Care at Desert Regional Medical Center. A Coachella Valley Coalition of Doctors, Nurses, Patients, and Community Groups, sponsored by Tenet Healthcare Corporation.",https://adstransparency.google.com/advertiser/AR04896869613498793985/creative/CR16708781193696378881?political=&region=US
Yes on 5,https://adstransparency.google.com/advertiser/AR02444147295516622849/creative/CR12800161444515545089?political=&region=US
Yes on 117,https://adstransparency.google.com/advertiser/AR11810208402326421505/creative/CR10088360050629279745?political=&region=US
Yes on 117,https://adstransparency.google.com/advertiser/AR11810208402326421505/creative/CR09343274346799431681?political=&region=US
"Yes for Santa Ana Kids, Yes on I",https://adstransparency.google.com/advertiser/AR14194230038349479937/creative/CR09660829797575557121?political=&region=US
Yassamin Ansari for Congress,https://adstransparency.google.com/advertiser/AR10326534283753160705/creative/CR00512926263166369793?political=&region=US
Yassamin Ansari for Congress,https://adstransparency.google.com/advertiser/AR10326534283753160705/creative/CR07078777596174925825?political=&region=US
"Yanka Industries, Inc",https://adstransparency.google.com/advertiser/AR02404665258892328961/creative/CR11063962438851362817?political=&region=US
"Yanka Industries, Inc",https://adstransparency.google.com/advertiser/AR02404665258892328961/creative/CR00719200691851100161?political=&region=US
"Yanka Industries, Inc",https://adstransparency.google.com/advertiser/AR02404665258892328961/creative/CR04668857565055025153?political=&region=US
YOUNG KIM FOR CONGRESS,https://adstransparency.google.com/advertiser/AR04621671370713989121/creative/CR00738920982651076609?political=&region=US
YOUNG KIM FOR CONGRESS,https://adstransparency.google.com/advertiser/AR04621671370713989121/creative/CR16877851722309959681?political=&region=US
YLENIA AGUILAR FOR ARIZONA CORPORATION COMMISSION,https://adstransparency.google.com/advertiser/AR03728816080114679809/creative/CR12841416220301328385?political=&region=US
YES ON SOUTH PLACER COUNTY MEASURE B,https://adstransparency.google.com/advertiser/AR03333252529910710273/creative/CR16254123841301774337?political=&region=US
YES ON SOUTH PLACER COUNTY MEASURE B,https://adstransparency.google.com/advertiser/AR03333252529910710273/creative/CR13426566962754879489?political=&region=US
YES ON SOUTH PLACER COUNTY MEASURE B,https://adstransparency.google.com/advertiser/AR03333252529910710273/creative/CR04504400363893293057?political=&region=US
"YES ON PROPOSITION 32, SPONSORED BY WORKING FAMILIES POWER BALLOT INITIATIVE PROJECT",https://adstransparency.google.com/advertiser/AR12798775510108733441/creative/CR04146947209557966849?political=&region=US
"YES ON PROPOSITION 32, SPONSORED BY WORKING FAMILIES POWER BALLOT INITIATIVE PROJECT",https://adstransparency.google.com/advertiser/AR12798775510108733441/creative/CR12851072681172271105?political=&region=US
"YES ON PROPOSITION 32, SPONSORED BY WORKING FAMILIES POWER BALLOT INITIATIVE PROJECT",https://adstransparency.google.com/advertiser/AR12798775510108733441/creative/CR15177674469918375937?political=&region=US
"YES ON PROPOSITION 32, SPONSORED BY WORKING FAMILIES POWER BALLOT INITIATIVE PROJECT",https://adstransparency.google.com/advertiser/AR12798775510108733441/creative/CR10477156708059709441?political=&region=US
"YES ON PROPOSITION 32, SPONSORED BY WORKING FAMILIES POWER BALLOT INITIATIVE PROJECT",https://adstransparency.google.com/advertiser/AR12798775510108733441/creative/CR18143514726867402753?political=&region=US
YES ON BB FOR FALLBROOK HIGH SCHOOLS & FACILITIES,https://adstransparency.google.com/advertiser/AR09288088208933912577/creative/CR13587827935154274305?political=&region=US
YES ON 5 CALIFORNIANS FOR SAFE AFFORDABLE COMMUNITIES,https://adstransparency.google.com/advertiser/AR01391864090200113153/creative/CR02852193652770340865?political=&region=US
YES ON 5 CALIFORNIANS FOR SAFE AFFORDABLE COMMUNITIES,https://adstransparency.google.com/advertiser/AR01391864090200113153/creative/CR09611266837052391425?political=&region=US
YES ON 5 CALIFORNIANS FOR SAFE AFFORDABLE COMMUNITIES,https://adstransparency.google.com/advertiser/AR01391864090200113153/creative/CR11239022058841047041?political=&region=US
"YES ON 35 - PROTECT OUR HEALTHCARE, A COALITION OF FIRST RESPONDERS, HEALTHCARE WORKERS, DOCTORS, NON-PROFIT COMMUNITY HEALTH CENTERS AND HOSPITALS",https://adstransparency.google.com/advertiser/AR16676544337403707393/creative/CR16569425293240958977?political=&region=US
"YES ON 35 - PROTECT OUR HEALTHCARE, A COALITION OF FIRST RESPONDERS, HEALTHCARE WORKERS, DOCTORS, NON-PROFIT COMMUNITY HEALTH CENTERS AND HOSPITALS",https://adstransparency.google.com/advertiser/AR16676544337403707393/creative/CR05489614184549187585?political=&region=US
"YES ON 35 - PROTECT OUR HEALTHCARE, A COALITION OF FIRST RESPONDERS, HEALTHCARE WORKERS, DOCTORS, NON-PROFIT COMMUNITY HEALTH CENTERS AND HOSPITALS",https://adstransparency.google.com/advertiser/AR16676544337403707393/creative/CR07997125991577157633?political=&region=US
"YES ON 35 - PROTECT OUR HEALTHCARE, A COALITION OF FIRST RESPONDERS, HEALTHCARE WORKERS, DOCTORS, NON-PROFIT COMMUNITY HEALTH CENTERS AND HOSPITALS",https://adstransparency.google.com/advertiser/AR16676544337403707393/creative/CR09284077190515785729?political=&region=US
"YES ON 35 - PROTECT OUR HEALTHCARE, A COALITION OF FIRST RESPONDERS, HEALTHCARE WORKERS, DOCTORS, NON-PROFIT COMMUNITY HEALTH CENTERS AND HOSPITALS",https://adstransparency.google.com/advertiser/AR16676544337403707393/creative/CR11603071131891793921?political=&region=US
"YES ON 35 - PROTECT OUR HEALTHCARE, A COALITION OF FIRST RESPONDERS, HEALTHCARE WORKERS, DOCTORS, NON-PROFIT COMMUNITY HEALTH CENTERS AND HOSPITALS",https://adstransparency.google.com/advertiser/AR16676544337403707393/creative/CR09229986389569830913?political=&region=US
"YES ON 35 - PROTECT OUR HEALTHCARE, A COALITION OF FIRST RESPONDERS, HEALTHCARE WORKERS, DOCTORS, NON-PROFIT COMMUNITY HEALTH CENTERS AND HOSPITALS",https://adstransparency.google.com/advertiser/AR16676544337403707393/creative/CR09329331439847604225?political=&region=US
"YES ON 35 - PROTECT OUR HEALTHCARE, A COALITION OF FIRST RESPONDERS, HEALTHCARE WORKERS, DOCTORS, NON-PROFIT COMMUNITY HEALTH CENTERS AND HOSPITALS",https://adstransparency.google.com/advertiser/AR16676544337403707393/creative/CR18425124943508275201?political=&region=US
"YES ON 35 - PROTECT OUR HEALTHCARE, A COALITION OF FIRST RESPONDERS, HEALTHCARE WORKERS, DOCTORS, NON-PROFIT COMMUNITY HEALTH CENTERS AND HOSPITALS",https://adstransparency.google.com/advertiser/AR16676544337403707393/creative/CR15244879919142928385?political=&region=US
"YES ON 35 - PROTECT OUR HEALTHCARE, A COALITION OF FIRST RESPONDERS, HEALTHCARE WORKERS, DOCTORS, NON-PROFIT COMMUNITY HEALTH CENTERS AND HOSPITALS",https://adstransparency.google.com/advertiser/AR16676544337403707393/creative/CR10677307956489355265?political=&region=US
"YES ON 35 - PROTECT OUR HEALTHCARE, A COALITION OF FIRST RESPONDERS, HEALTHCARE WORKERS, DOCTORS, NON-PROFIT COMMUNITY HEALTH CENTERS AND HOSPITALS",https://adstransparency.google.com/advertiser/AR16676544337403707393/creative/CR12080452692393066497?political=&region=US
"YES ON 35 - PROTECT OUR HEALTHCARE, A COALITION OF FIRST RESPONDERS, HEALTHCARE WORKERS, DOCTORS, NON-PROFIT COMMUNITY HEALTH CENTERS AND HOSPITALS",https://adstransparency.google.com/advertiser/AR16676544337403707393/creative/CR02532821482367614977?political=&region=US
"YES ON 35 - PROTECT OUR HEALTHCARE, A COALITION OF FIRST RESPONDERS, HEALTHCARE WORKERS, DOCTORS, NON-PROFIT COMMUNITY HEALTH CENTERS AND HOSPITALS",https://adstransparency.google.com/advertiser/AR16676544337403707393/creative/CR15833077081899532289?political=&region=US
"YES ON 35 - PROTECT OUR HEALTHCARE, A COALITION OF FIRST RESPONDERS, HEALTHCARE WORKERS, DOCTORS, NON-PROFIT COMMUNITY HEALTH CENTERS AND HOSPITALS",https://adstransparency.google.com/advertiser/AR16676544337403707393/creative/CR14143413583031042049?political=&region=US
"YES ON 35 - PROTECT OUR HEALTHCARE, A COALITION OF FIRST RESPONDERS, HEALTHCARE WORKERS, DOCTORS, NON-PROFIT COMMUNITY HEALTH CENTERS AND HOSPITALS",https://adstransparency.google.com/advertiser/AR16676544337403707393/creative/CR07129111915644583937?political=&region=US
"YES ON 35 - PROTECT OUR HEALTHCARE, A COALITION OF FIRST RESPONDERS, HEALTHCARE WORKERS, DOCTORS, NON-PROFIT COMMUNITY HEALTH CENTERS AND HOSPITALS",https://adstransparency.google.com/advertiser/AR16676544337403707393/creative/CR11236387628980895745?political=&region=US
