,text,codes
0,"As expected, the 3 against one debate was a complete sham. The so called journalists or “moderators” were disgustingly partisan, hostile & unprofessional! They falsely fact checked Trump while they left Kamala lie many times without saying anything. There is no doubt in my mind that she was provided the questions beforehand !
No matter what, If a 90 minute biased debate is what it takes for you to be persuaded for which candidate to vote for, you’re not worthy of being able to vote.
If Taylor Swift endorsing Kamala is what makes up your mind, you’re idiotic !
Judge by 4 years of Trump’s successful presidency & the state of the country & the world versus almost 4 years of a world upside down & in chaos with Kamala by Joe’s side.
Judge by closed borders versus open borders, judge by almost no inflation or crime, versus high inflation & crime.
Judge by low taxes versus high taxes, less regulations versus burdensome regulations.
Judge by no war in Ukraine or in Israel versus Russia invading Ukraine & killing millions & Hamas committing heinous terrorist crimes against Israel & the Jewish people.
Judge by order on campuses versus hate & antisemitism & burning & rioting in those universities
Judge by one who governs by convictions , faith & patriotism versus one who changes positions everyday & says & does whatever the people want to hear.
Judge by steady leadership & consistency versus flip flops.
Judge by being respected abroad by friends & foes versus being ridiculed & laughed at by the whole world.
The qualities of both candidates are as clear as day & unless you want a corrupt government & democrat party & candidate to ruin the country further & keep weaponizing the DOJ & other government institutions against Americans, vote Trump !
Despite all his shortcomings he is a much better President for these tumultuous times !","[10, 27]"
1,"CHECKS AND BALANCES ARE DEAD IF TRUMP GETS BACK IN
The confluence of events yesterday – judge Cannon’s dismissal, on fabricated grounds, of the case against Trump for taking, hiding and refusing to return classified documents, and Trump’s naming of JD Vance as his VP candidate –further clarified Republicans’ will to transform our entire system of government into nothing but an instrument of (their) power.

“Conservative” judges and politicians are now operating almost without even the pretext of impartiality or duty to the constitution. Judge Cannon’s approach in the case, which has been fleshed out in recent years by “conservative” jurists throughout the legal system, was really to instrumentalize the law – lawfare, to use a term that “conservatives” have neutralized as an accurate description of *their* behavior by projecting it falsely onto others – by looking for or inventing loopholes or technicalities that allow the law to be applied in whatever direction is deemed suitable in a given situation.

While judges have obviously always had personal viewpoints and inclinations, the imperative to at least appear impartial is more than just a formal standard that people are supposed to hold themselves to. It is what makes the discipline *rigorous*. Even if your intention is to create new legal interpretations out of whole cloth, the need to position the argument within the developed framework of accepted law is *difficult*. You’re not supposed to be able to get away with overturning established law and practices based on shabby, self-serving, contradictory arguments that would be laughed out of court if you didn’t hold an impenetrable majority and which rot the legal system from the inside out by leaving behind an ever-expanding web of contradictions as each motivated ruling unspools a tangle of equally motivated clarifications and offshoots. It produces arbitrary nonsense and leaves us bereft of the protections of law.

“Conservative” jurists, including now even majorities on the supreme court, have emphatically crossed that threshold. And judges operating far down the chain, like judge Cannon, are now just serving up cases for the supreme court to adjudicate based on pretty much whatever they have the personal wherewithal to slap down on a piece of paper. Who can stop them? Even with a chief justice who would occasionally vote with the minority to preserve some semblance that they are practicing law instead of politics, with an illegitimately installed 6-3 supermajority his vote is not even required to manhandle the established laws and practices of the court and the country.

It is not properly Cannon’s job to do what she did, overturning decades of established practice on specious grounds, although her scope to abuse her authority was big enough.

But she has, at least, helpfully boiled it all down to how it works now: Conservative jurists – scholars, lawyers and judges – pore through the law to figure out how to construct the desired political outcomes, knowing that the final arbiter, the illegitimately installed 6-3 supermajority on the SC, will deliver the political outcome of a society dominated by a minority poured in concrete.

This would not be possible, or so effective, if checks and balances were in place and functioning. But since Republicans are fully in cahoots on these practices and do not check each other at all despite their constitutional duties, the only checks and balances that still exist are through voting for Democrats.

Finally, the elevation of JD Vance as Trump’s VP, would install a person who is a fervent 2020 election-denier in a position to block the handover of power in 2028 and who has presented elaborate defenses of why Trump’s efforts to prevent the transfer of power were legitimate uses of presidential power. This guy can construct – and generally already has constructed – sophisticated rationalizations for absolutely anything. And he has gone from being a self-described never-Trumper who called Trump unworthy of the office (and far worse) to the most obsequious of Trumpian boot-lickers, so there is no line he won’t cross and whose crossing he will not ably defend.

The collection of lickspittles and opportunists who now surround Trump act, like Trump himself, in a probing manner, forcing issues to find gaps and learn how they can break through defenses. This is the *nature* of their conduct. They are looking for devious ways to use power for their own purposes. It goes without saying that this tactic of probing the defenses, and the willingness to march through any breach, ultimately destroys the defenses.

But those defenses are the laws that define and protect our rights and protections against violation and exploitation. They are the backbone of our system.

Trump and his toadies like to think they are just playing hardball and that everyone else is as thoroughly rotten as they are, but they are WRONG. They are in fact destroying the system itself. If they no longer are willing to *restrain* themselves and act in the *spirit* of the system rather than probing for loopholes in the *letter* of the law, the system can only hold if they are PREVENTED FROM BEING IN A POSITION TO BREAK IT.","[21, 24]"
2,"TRUMP-VOTERS: DON’T FOOL YOURSELVES ABOUT THE CONSEQUENCES OF RE-ELECTING HIM. THE BENEFIT OF THE DOUBT RUNS OUT WHEN A CHOICE IS CONFIRMED
That goes for personal relationships and it goes for the way the US is seen by people around the world. You Trump-voters have been on a 10-year journey to reconcile yourselves with violating your own standards for personal gain. And you have a lot of fellow travelers on the same train to make you feel validated in your choice. It’s easy for many of you to ignore or dismiss how your journey is viewed by the people who aren’t on it with you. But the rest of us have not spent 10 years trying to rationalize Trump. We’ve been looking on with the same disgust we felt for him all along, and for the spectacle of watching you talk yourselves into a Faustian bargain by demonizing all the rest of us.

Trump’s loss in 2020 meant that all of us could let bygones be bygones for the sake of getting along with loved ones and other people in our lives. But then you let the scumbag back in. And if you vote for him again after all the shit he did in office, after trying to overturn the 2020 election and after all the repulsive shit he’s said and done since then, the message received by everyone outside of your self-deluding bubble is going to be a thousand times worse than it was in 2016 or even 2020. It will be a confirmation.

This is not a threat – it’s the weary foresight of knowing how it feels to see people make an “eff-you” choice in full knowledge of the consequences for others. Like watching a loved one return to a relationship-harming habit, listening to their rationalizations for indulging themselves again … It’s one thing to make a mistake. It’s quite another to ratify it again later.

That’s a personal angle, but the same thing goes for the view of the US around the world. People across the world shook their heads in 2016 and looked on with dismay and disbelief as Trump destabilized every institution of world affairs and raised doubts about US commitments in a way that no president had done in living memory, all while acting like a brash ignoramus who didn’t care what anyone thought. When Biden was elected in 2020, the world could interpret 2016 as a hair-raising fluke and see Biden’s recommitment to the institutions the US anchors as a reaffirmation of the stability of the US itself and as a reliable actor in the world.

Re-electing Trump will be a permanent knockout blow for the belief of people and countries around the world that they know what the US stands for. That is just a fact. Trump repudiated the US-established, rule-based world order in favor of bi-lateral power relations. That plainly overthrows what the world previously expected of the US, and confirming it will turn the chaotic exception into the new rule.

And he demonstrated something even more destructive – that the rule of law doesn’t even apply domestically under Trump. He views himself as a king and will lay waste to our system of government if that’s what it takes to enact his will and launder his crimes. He has already done so.

What does it mean for the world to see a USA that not only disregards its own rules on the international stage – which it has always done selectively, while still maintaining the rule-based order in general – but now doesn’t even apply the rule of law internally? Trump willingly conceded to all the Putins and Xis and Kims of the world, who say that the US is just a hypocrite that talks about laws and human rights only out of self-interest, that they were right all along. He puffed out his chest and boasted of it – you think we’re such angels?

No, we were never angels, but we had laws. It was not just a show – the rule of law matters to us. “We the people” … actually believe that our constitution gives us rights and protections that no one has the right to take away. It’s the whole fucking idea.

Trump destroys that by telling all of us, everywhere in the world, that our rights and protections depend only on our proximity to power. It’s the antithesis of everything the US has ever claimed to represent.

His first term was a wake-up call, to Americans and to the rest of the world. This could happen. You could wake up one day and suddenly find that the biggest country that claims to stand for the rule of law and for human rights (never mind its shortcomings – it remained a work in progress) and stands as a bulwark against authoritarianism … is itself now a scofflaw that gives succor to dictators and strikes fear into the hearts of ALLIES.

This, Trump-voters, is what your vote to re-elect him will mean to the rest of us who don’t live in your alternate reality of self-serving bullshit. That you are A-OK with that litany of destruction and all of his promises to treat other people like “vermin” as long as you think the lifetime scam artist is going to deliver for you.

There’s no mulligan this time. If you don’t know better now, it’s because you don’t want to. There are no excuses left for you. There’s no going back when you’ve watched the shit play out over 10 years and heard the appeals of the people around you and decided you didn’t care. It’s a message that we will take to heart whether we want to or not, because it’s going to cost us and you didn’t give a damn",[0]
3,"Where's the #JOY in this?

According to a new report from ICE, #JoeBiden and #KamalaHarris have allowed a SHOCKING number of criminals into America, including:

- 13,099 MURDERS
- 15,811 RAPISTS
- 425,431 CONVICTED CRIMINALS

PLEASE #vote for #Trump to SAVE AMERICA!",[29]
4,"We have 200 More Trump Vance Yard Signs now in stock. $5 Each. 5 remaining 4 X 8 @ $50 Each. GOP Office Hours are as follows (as of 10/14/24).
10/15: 9 to 12
10/16: 9 to 12
10/18: 12 to 3
10/19: 9 to 12
10/22: 9 to 12
10/23 12 to 3
10/25 12 to 3
10/26 9 to 12
10/29 12 to 3
10/30 12 to 3",[0]
5,"CHECKS AND BALANCES ARE DEAD IF TRUMP GETS BACK IN
The confluence of events yesterday – judge Cannon’s dismissal, on fabricated grounds, of the case against Trump for taking, hiding and refusing to return classified documents, and Trump’s naming of JD Vance as his VP candidate –further clarified Republicans’ will to transform our entire system of government into nothing but an instrument of (their) power.

“Conservative” judges and politicians are now operating almost without even the pretext of impartiality or duty to the constitution. Judge Cannon’s approach in the case, which has been fleshed out in recent years by “conservative” jurists throughout the legal system, was really to instrumentalize the law – lawfare, to use a term that “conservatives” have neutralized as an accurate description of *their* behavior by projecting it falsely onto others – by looking for or inventing loopholes or technicalities that allow the law to be applied in whatever direction is deemed suitable in a given situation.

While judges have obviously always had personal viewpoints and inclinations, the imperative to at least appear impartial is more than just a formal standard that people are supposed to hold themselves to. It is what makes the discipline *rigorous*. Even if your intention is to create new legal interpretations out of whole cloth, the need to position the argument within the developed framework of accepted law is *difficult*. You’re not supposed to be able to get away with overturning established law and practices based on shabby, self-serving, contradictory arguments that would be laughed out of court if you didn’t hold an impenetrable majority and which rot the legal system from the inside out by leaving behind an ever-expanding web of contradictions as each motivated ruling unspools a tangle of equally motivated clarifications and offshoots. It produces arbitrary nonsense and leaves us bereft of the protections of law.

“Conservative” jurists, including now even majorities on the supreme court, have emphatically crossed that threshold. And judges operating far down the chain, like judge Cannon, are now just serving up cases for the supreme court to adjudicate based on pretty much whatever they have the personal wherewithal to slap down on a piece of paper. Who can stop them? Even with a chief justice who would occasionally vote with the minority to preserve some semblance that they are practicing law instead of politics, with an illegitimately installed 6-3 supermajority his vote is not even required to manhandle the established laws and practices of the court and the country.

It is not properly Cannon’s job to do what she did, overturning decades of established practice on specious grounds, although her scope to abuse her authority was big enough.

But she has, at least, helpfully boiled it all down to how it works now: Conservative jurists – scholars, lawyers and judges – pore through the law to figure out how to construct the desired political outcomes, knowing that the final arbiter, the illegitimately installed 6-3 supermajority on the SC, will deliver the political outcome of a society dominated by a minority poured in concrete.

This would not be possible, or so effective, if checks and balances were in place and functioning. But since Republicans are fully in cahoots on these practices and do not check each other at all despite their constitutional duties, the only checks and balances that still exist are through voting for Democrats.

Finally, the elevation of JD Vance as Trump’s VP, would install a person who is a fervent 2020 election-denier in a position to block the handover of power in 2028 and who has presented elaborate defenses of why Trump’s efforts to prevent the transfer of power were legitimate uses of presidential power. This guy can construct – and generally already has constructed – sophisticated rationalizations for absolutely anything. And he has gone from being a self-described never-Trumper who called Trump unworthy of the office (and far worse) to the most obsequious of Trumpian boot-lickers, so there is no line he won’t cross and whose crossing he will not ably defend.

The collection of lickspittles and opportunists who now surround Trump act, like Trump himself, in a probing manner, forcing issues to find gaps and learn how they can break through defenses. This is the *nature* of their conduct. They are looking for devious ways to use power for their own purposes. It goes without saying that this tactic of probing the defenses, and the willingness to march through any breach, ultimately destroys the defenses.

But those defenses are the laws that define and protect our rights and protections against violation and exploitation. They are the backbone of our system.

Trump and his toadies like to think they are just playing hardball and that everyone else is as thoroughly rotten as they are, but they are WRONG. They are in fact destroying the system itself. If they no longer are willing to *restrain* themselves and act in the *spirit* of the system rather than probing for loopholes in the *letter* of the law, the system can only hold if they are PREVENTED FROM BEING IN A POSITION TO BREAK IT.",[13]
6,"TRUMP-VOTERS: DON’T FOOL YOURSELVES ABOUT THE CONSEQUENCES OF RE-ELECTING HIM. THE BENEFIT OF THE DOUBT RUNS OUT WHEN A CHOICE IS CONFIRMED
That goes for personal relationships and it goes for the way the US is seen by people around the world. You Trump-voters have been on a 10-year journey to reconcile yourselves with violating your own standards for personal gain. And you have a lot of fellow travelers on the same train to make you feel validated in your choice. It’s easy for many of you to ignore or dismiss how your journey is viewed by the people who aren’t on it with you. But the rest of us have not spent 10 years trying to rationalize Trump. We’ve been looking on with the same disgust we felt for him all along, and for the spectacle of watching you talk yourselves into a Faustian bargain by demonizing all the rest of us.

Trump’s loss in 2020 meant that all of us could let bygones be bygones for the sake of getting along with loved ones and other people in our lives. But then you let the scumbag back in. And if you vote for him again after all the shit he did in office, after trying to overturn the 2020 election and after all the repulsive shit he’s said and done since then, the message received by everyone outside of your self-deluding bubble is going to be a thousand times worse than it was in 2016 or even 2020. It will be a confirmation.

This is not a threat – it’s the weary foresight of knowing how it feels to see people make an “eff-you” choice in full knowledge of the consequences for others. Like watching a loved one return to a relationship-harming habit, listening to their rationalizations for indulging themselves again … It’s one thing to make a mistake. It’s quite another to ratify it again later.

That’s a personal angle, but the same thing goes for the view of the US around the world. People across the world shook their heads in 2016 and looked on with dismay and disbelief as Trump destabilized every institution of world affairs and raised doubts about US commitments in a way that no president had done in living memory, all while acting like a brash ignoramus who didn’t care what anyone thought. When Biden was elected in 2020, the world could interpret 2016 as a hair-raising fluke and see Biden’s recommitment to the institutions the US anchors as a reaffirmation of the stability of the US itself and as a reliable actor in the world.

Re-electing Trump will be a permanent knockout blow for the belief of people and countries around the world that they know what the US stands for. That is just a fact. Trump repudiated the US-established, rule-based world order in favor of bi-lateral power relations. That plainly overthrows what the world previously expected of the US, and confirming it will turn the chaotic exception into the new rule.

And he demonstrated something even more destructive – that the rule of law doesn’t even apply domestically under Trump. He views himself as a king and will lay waste to our system of government if that’s what it takes to enact his will and launder his crimes. He has already done so.

What does it mean for the world to see a USA that not only disregards its own rules on the international stage – which it has always done selectively, while still maintaining the rule-based order in general – but now doesn’t even apply the rule of law internally? Trump willingly conceded to all the Putins and Xis and Kims of the world, who say that the US is just a hypocrite that talks about laws and human rights only out of self-interest, that they were right all along. He puffed out his chest and boasted of it – you think we’re such angels?

No, we were never angels, but we had laws. It was not just a show – the rule of law matters to us. “We the people” … actually believe that our constitution gives us rights and protections that no one has the right to take away. It’s the whole fucking idea.

Trump destroys that by telling all of us, everywhere in the world, that our rights and protections depend only on our proximity to power. It’s the antithesis of everything the US has ever claimed to represent.

His first term was a wake-up call, to Americans and to the rest of the world. This could happen. You could wake up one day and suddenly find that the biggest country that claims to stand for the rule of law and for human rights (never mind its shortcomings – it remained a work in progress) and stands as a bulwark against authoritarianism … is itself now a scofflaw that gives succor to dictators and strikes fear into the hearts of ALLIES.

This, Trump-voters, is what your vote to re-elect him will mean to the rest of us who don’t live in your alternate reality of self-serving bullshit. That you are A-OK with that litany of destruction and all of his promises to treat other people like “vermin” as long as you think the lifetime scam artist is going to deliver for you.

There’s no mulligan this time. If you don’t know better now, it’s because you don’t want to. There are no excuses left for you. There’s no going back when you’ve watched the shit play out over 10 years and heard the appeals of the people around you and decided you didn’t care. It’s a message that we will take to heart whether we want to or not, because it’s going to cost us and you didn’t give a damn.",[30]
7,"Latest Quinnipiac Poll

WISCONSIN:

Harris - 48%
Trump - 48%",[0]
8,"Join me in a prayer for the upcoming week.

Heavenly Father, in the mighty name of Jesus, we come before You, asking for peace as our nation approaches this critical election. Calm the hearts and minds of Your people as they weigh the possibilities of various outcomes (Philippians 4:6-7). We ask that You prevent conflicts, disruptions, or dishonesty. Guard each person who steps into a polling place and cover them with Your divine protection. Let peace and safety prevail (Psalm 34:7).

We thank You, Lord, for the privilege of being citizens of this nation and for the foundations upon which it stands. We ask that You restore integrity to the institution of our elections. While men may seek to deceive out of selfishness and the lust for power, we trust in You, for You alone hold true power, and all authority is from You (Romans 13:1). We give You all the praise!

Grant wisdom to those deciding their votes so that their choices align with Your will and bring about the greatest good for our future (James 1:5). Let integrity and righteousness be present from the casting of ballots to the counting and reporting. Protect us from fraud and manipulation (Deuteronomy 16:20). Stir the hearts of those who are unmotivated or indifferent, inspiring them to fulfill their duty to vote. May the weight of this responsibility rest upon them.

Father, we also ask that You uncover lies and reveal the truth. Strengthen our pursuit of truth and confound the spirit of deceit and misinformation. We reject falsehoods and ask that they be exposed (Psalm 25:5). We rebuke satan, the father of lies, in Jesus’ name (John 8:44). Our trust is in You, and we declare today that ""Victory belongs to the Lord"" (Proverbs 21:31).

Lord, we pray that You deliver victory to the righteous, to the Republican Party, and to Donald Trump, that they may lead this nation back to truth and righteousness. We believe this victory is crucial to saving America and restoring it to the principles upon which it was founded. Guide our nation back to You, and let Your hand of justice and mercy prevail.

In Jesus' name we pray,
Amen.

Dennis W Futch
Chairman GAGOP RVT",[10]
9,"It is NOW 100% clear! The CIA 100% controls Biden and his crime family!

What? The CIA stopped the FBI from interviewing Kevin Morris, Hunter Biden’s “sugar brother”!

And, it’s 100% TRUE that the 51 “intelligence” officials, who signed the letter of lies about Hunter’s laptop being Russian misinformation, colluded with the Biden campaign to commit traitorous election interference to keep Trump from winning! See the one page article on our website: The TRUTH about how the 2020 Election was RIGGED & STOLEN!

The deep state will do ANYTHING to stop Trump from winning in 2024! However, that makes Concerned Americans For America work even harder!

Support our efforts to deliver Wisconsin to Trump in November!","[24, 25, 27]"
